ID	Name	Glottocode	SubGroup	Latitude	Longitude
Goshimjang	Goshimjang	ndan1241	Ndanda_Ouest	5.234168	10.407013
NdandaCaa	Ndanda_Ca-a	ndan1241	Ndanda_Ouest		
NdandaDenfap	Ndanda_Denfap	ndan1241	Ndanda_Sud	5.111459	10.336031
NdandaLek	Ndanda_Lek	ndan1241	Ndanda_Sud	5.150741	10.429029
NdandaMeno	Ndanda_Meno	ndan1241	Ndanda_Sud	5.069482	10.425853
NdandaNgwa	Ndanda_Ngwa	ndan1241	Ndanda_Est	5.191047	10.473404
NdandaNyep	Ndanda_Nyep	bato1245	Ndanda_Est	5.254489	10.471901
NdandaShingou	Ndanda_Shingou	ndan1241	Ndanda_Est	5.238847	10.491081
NdandaTwefap	Ndanda_Twefap	ndan1241	Ndanda_Sud	5.027245	10.473575
NdandaZua	Ndanda_Zua				
